season_name,season,full_name,castaway_id,castaway,age,city,state,personality_type,episode,day,order,result,jury_status,original_tribe,swapped_tribe,swapped_tribe_2,merged_tribe,total_votes_received,immunity_idols_won,short_name,date_of_birth,date_of_death,gender,race,ethnicity,occupation
Survivor: 41,41,Erika Casupanan,594,Erika,32,Toronta,Ontario,ENFP,13,26,18,Sole Survivor,,Luvu,,,Via Kana,0,0,Erika,1989-07-20,,Female,Asian,,Communications Manager
Survivor: 41,41,Deshawn Radden,601,Deshawn,26,Miami,Florida,ENTP,13,26,17,Runner-up,,Luvu,,,Via Kana,0,0,Deshawn,1995-09-17,,Male,Black,,Medical Student
Survivor: 41,41,Xander Hastings,597,Xander,20,Chicago,Illinois,INFJ,13,26,16,2nd runner-up,,Yase,,,Via Kana,0,0,Xander,2000-08-11,,Male,,,App Developer
Survivor: 41,41,Heather Aldret,593,Heather,52,Charleston,South Carolina,ISFJ,13,25,15,15th voted out,8th jury member,Luvu,,,Via Kana,0,0,Heather,1969-03-01,,Female,,,Stay-at-home Mom
Survivor: 41,41,Ricard Foye,596,Ricard,31,Sedro-Woolley,Washington,ENTJ,13,24,14,14th voted out,7th jury member,Ua,,,Via Kana,1,0,Ricard,1989-12-04,,Male,,Hispanic or Latino,Flight Attendant
Survivor: 41,41,Danny McCray,599,Danny,33,Frisco,Texas,INFJ,12,23,13,13th voted out,6th jury member,Luvu,,,Via Kana,0,0,Danny,1988-03-10,,Male,Black,,Ex-NFL Player
Survivor: 41,41,Liana Wallace,608,Liana,20,Washington,D.C.,ESTJ,11,21,12,12th voted out,5th jury member,Yase,,,Via Kana,0,0,Liana,2000-10-25,,Female,Black,Jewish,College Student
Survivor: 41,41,Shantel Smith,606,Shan,34,Washington,D.C.,ENFJ,10,19,11,11th voted out,4th jury member,Ua,,,Via Kana,0,0,Shan,1987-03-11,,Female,Black,,Pastor
Survivor: 41,41,Evvie Jagoda,598,Evvie,28,Arlington,Massachusetts,ENFP,9,17,10,10th voted out,3rd jury member,Yase,,,Via Kana,0,0,Evvie,1992-10-26,,Non-binary,White,Jewish,Ph.D. Student
Survivor: 41,41,Naseer Muttalif,600,Naseer,37,Morgan Hill,California,ESFJ,9,17,9,9th voted out,2nd jury member,Luvu,,,Via Kana,0,0,Naseer,1984-06-21,,Male,Asian,Sri Lankan,Sales Manager
Survivor: 41,41,Tiffany Seely,604,Tiffany,47,Plainview,New York,ENTP,8,16,8,8th voted out,1st jury member,Yase,,,Via Kana,1,0,Tiffany,1973-12-08,,Female,White,Jewish,Teacher
Survivor: 41,41,Sydney Segal,605,Sydney,26,Brooklyn,New York,ESTP,7,14,7,7th voted out,,Luvu,,,Via Kana,0,0,Sydney,1995-07-19,,Female,White,Jewish,Law Student
Survivor: 41,41,Genie Chen,595,Genie,46,Portland,Oregon,ISFP,5,11,6,6th voted out,,Ua,,,,0,0,Genie,1975-03-04,,Female,Asian,,Grocery Clerk
Survivor: 41,41,Jairus Robinson,603,JD,20,Oklahoma City,Oklahoma,ESFP,4,9,5,5th voted out,,Ua,,,,0,0,JD,2001-03-18,,Male,Black,,College Student
Survivor: 41,41,Brad Reese,602,Brad,50,Shawnee,Wyoming,ESFP,3,7,4,4th voted out,,Ua,,,,1,0,Brad,1971-07-21,,Male,,,Rancher
Survivor: 41,41,David Voce,607,Voce,35,Chicago,Illinois,ENTJ,2,5,3,3rd voted out,,Yase,,,,0,0,Voce,1986-05-01,,Male,,,Neurosurgeon
Survivor: 41,41,Sara Wilson,592,Sara,24,Boston,Massachusetts,INTJ,1,3,2,2nd voted out,,Ua,,,,4,0,Sara,1997-06-28,,Female,,,Healthcare Consultant
