"season_name","season","episode","day","episode_title","challenge_name","challenge_type","outcome_type","challenge_id","winner_ids","winner_names","winner_tribes","winner_statuses"
"Survivor: Borneo",1,1,3,"The Marooning","Quest for Fire","Reward and Immunity","Tribal","CH0001","c(""2"", ""4"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"")","c(""B.B."", ""Ramona"", ""Joel"", ""Gretchen"", ""Greg"", ""Jenna"", ""Gervase"", ""Colleen"")","c(""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,2,6,"The Generation Gap","Buggin' Out","Immunity","Tribal","CH0004","c(""3"", ""5"", ""12"", ""13"", ""14"", ""15"", ""16"")","c(""Stacey"", ""Dirk"", ""Sean"", ""Sue"", ""Rudy"", ""Kelly"", ""Richard"")","c(""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,2,6,"The Generation Gap","Shoulder the Load","Reward","Tribal","CH0357","c(""2"", ""4"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"")","c(""B.B."", ""Ramona"", ""Joel"", ""Gretchen"", ""Greg"", ""Jenna"", ""Gervase"", ""Colleen"")","c(""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,3,9,"Quest for Food","Rescue Mission","Immunity","Tribal","CH0021","c(""4"", ""6"", ""7"", ""8"", ""9"", ""10"", ""11"")","c(""Ramona"", ""Joel"", ""Gretchen"", ""Greg"", ""Jenna"", ""Gervase"", ""Colleen"")","c(""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,3,9,"Quest for Food","Treasure Chest","Reward","Tribal","CH0020","c(""3"", ""5"", ""12"", ""13"", ""14"", ""15"", ""16"")","c(""Stacey"", ""Dirk"", ""Sean"", ""Sue"", ""Rudy"", ""Kelly"", ""Richard"")","c(""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,4,12,"Too Little, Too Late?","Buried Treasure","Immunity","Tribal","CH0028","c(""5"", ""12"", ""13"", ""14"", ""15"", ""16"")","c(""Dirk"", ""Sean"", ""Sue"", ""Rudy"", ""Kelly"", ""Richard"")","c(""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,4,12,"Too Little, Too Late?","SOS Signal","Reward","Tribal","CH0024","c(""5"", ""12"", ""13"", ""14"", ""15"", ""16"")","c(""Dirk"", ""Sean"", ""Sue"", ""Rudy"", ""Kelly"", ""Richard"")","c(""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,5,15,"Pulling Your Own Weight","Shipwrecked","Immunity","Tribal","CH0034","c(""6"", ""7"", ""8"", ""9"", ""10"", ""11"")","c(""Joel"", ""Gretchen"", ""Greg"", ""Jenna"", ""Gervase"", ""Colleen"")","c(""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,5,15,"Pulling Your Own Weight","Choose Your Weapon","Reward","Tribal","CH0029","c(""6"", ""7"", ""8"", ""9"", ""10"", ""11"")","c(""Joel"", ""Gretchen"", ""Greg"", ""Jenna"", ""Gervase"", ""Colleen"")","c(""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"", ""Pagong"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
"Survivor: Borneo",1,6,18,"Udder Revenge","The Obstacle Course","Immunity","Tribal","CH0039","c(""12"", ""13"", ""14"", ""15"", ""16"")","c(""Sean"", ""Sue"", ""Rudy"", ""Kelly"", ""Richard"")","c(""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"", ""Tagi"")","c(""Winner"", ""Winner"", ""Winner"", ""Winner"", ""Winner"")"
