index,text,author_is_TW
209,"They lived in a white house on the corner. There was a small plot of lawn in front, and a narrow strip on the side next to the pavement. He realized vaguely that it was far from the great central web and roar of the city--he thought he heard some one say four or five miles. Where was the river?",1
6564,"Biff uncorked the bottle. He stood shirtless before the mirror and dabbed some of the perfume on his dark, hairy armpits. The scent made him stiffen. He exchanged a deadly secret glance with himself in the mirror and stood motionless. He was stunned by the memories brought to him with the perfume, not because of their clarity, but because they gathered together the whole long span of years and were complete. Biff rubbed his nose and looked sideways at himself. The boundary of death. He felt in him each minute that he had lived with her. And now their life together was whole as only the past can be whole. Abruptly Biff turned away.",0
1633,"Gant sat in a wheeled chair upon the high fifth-floor veranda, looking out through bright October air at the city spread far into the haze before him. He looked very clean, almost fragile. A faint grin of happiness and relief hovered about his thin mouth. He smoked a long cigar, with fresh-awakened senses.",1
749,"The principal had thick powerful shoulders; clumsy white arms, knotted with big awkward country muscles. Eugene had seen him once hoeing in the schoolyard; each of them had been given a plant to set out. He got those muscles on the farm. The boys said he beat very hard. He walked with a clumsy stealthy tread--awkward and comical enough, it is true, but he could be up at a boy's back before you knew it. Otto Krause called him Creeping Jesus. The name stuck, among the tough crowd. Eugene was a little shocked by it.",1
4844,"Again the silken tones. You'll not go wrong on Haig, sir. But perhaps you'd like to try another brand, something a trifle rare, a little more expensive, perhaps a little more mature. Some of our patrons have tried this one, sir. It costs a shilling more, but if you like the smoky flavour you'll find it worth the difference. Oh, the fond, brisk slave!",1
5092,"In winter there were also things to do. The snows came down, and the road out to the main highway became impassable to cars for three weeks at a time. Not even the trucks of the A. & P. could get through. So for three whole weeks on end they had to plod their way out on foot, a good three-quarters of a mile, to lay in provisions. The days were full of other work as well. People in cities might think that country life was dull in winter, but that was because they simply did not know. The squire became a carpenter. He was working on his play, of course, but in between times he made furniture. It was good to be able to do something with one's hands. He had a workshop fitted up in the old barn. There he had his studio, too, where he could carry on his intellectual labours undisturbed. The children were forbidden to go there. And every morning, after taking the children to school, the father could return to his barn-studio and have the whole morning free to get on with the play.",1
9509,“I don’t know. He thinks it was me. Not the show in general.”,0
7516,"He reached in his pocket, and a piece of metal, slung on a ribbon, fell into my palm. “That’s the one from Montenegro.” To my astonishment, the thing had an authentic look. “Orderi di Danilo,” ran the circular legend, “Montenegro, Nicolas Rex.”  “Turn it.”",0
5003,"It was probably this sound which had aroused them both. Telling McHarg that he'd be back in a moment, George ran down the stairs and opened the door. It was, of course, McHarg's chauffeur. In the excitement and fatigue of the afternoon's event he had completely forgotten him, and the poor fellow had been waiting all this time there in his glittering chariot drawn up before Webber's modest door. It was not yet quite five o'clock in the afternoon, but dark comes early in the dismal wintry days of London's ceaseless fog and drizzle, and it was black as midnight outside. The street lights were on, and the shop fronts were shining out into the fog with a blurred and misty radiance. The street itself was still and deserted, but high up over the roof-tops the wind was beginning to swoop in fitful gusts, howling faintly in a way that promised a wild night.",1
7695,"“Wha’?” A massive and lethargic woman, who had been urging Daisy to play golf with her at the local club tomorrow, spoke in Miss Baedeker’s defence: “ Oh, she’s all right now. When she’s had five or six cocktails she always starts screaming like that. I tell her she ought to leave it alone.”",0
9093,"I grabbed Mike. “Come on to the café,” I said. “You can’t hit him here in the hotel.”",0
5446,"And if I do say so, I was no slouch at it myself. At the age of seventeen I had an A-1 rating as a philosopher. Concepts"" held no terrors for my young life, and ""moments of negation"" were my meat. I could split a hair with the best of them. And now that I have turned to boasting, I may as well tell you that I made a One in Logic, and it was said to be the only One that had been given in that course for many a year. So when it comes to speaking of philosophy, I am, you see, a fellow who is privileged to speak.",1
3007,"Th-th-that angel there! Eugene chattered, pointing with a trembling finger. Did you see it move? It lifted its arm. What of it?",1
5460,"We had killed the boy--our thoughtless folly killed him--but with his dying breath that would have been his only judgment on us. And we broke the heart of Plato Grant, our Old Man, our own Philosopher; but all he said to us that night as he turned towards us from poor Bell was, quietly:  ""My God, boys, what have you done? And that was all. Even Bell's father said no more to us. And after the first storm had passed, the cry of outrage and indignation that went up throughout the state--that was our punishment: the knowledge of the Done inexorable, the merciless insistence in our souls of that fatal and irrevocable ""Why?""  Swiftly people came to see and feel this, too.",1
7065,"Then Hazel came home. Her high heels clopped up the steps and she leaned back lazily on the banisters. In the half-dark her fat, soft hands were very white as she felt the back of her braided hair. 'I sure do wish Etta was able to work,' she said. 'I found out about this job today. '",0
8848,Beyond the river rose the plateau of the town. All along the old walls and ramparts people were standing. The three lines of fortifications made three black lines of people. Above the walls there were heads in the windows of the houses. At the far end of the plateau boys had climbed into the trees.,0
8131,"“Thanks so much,” he said, “I’ve just had one.”  “Have another.” “Thanks, I will then.” We got the daughter of the house over and each had a fine à l’eau.",0
664,"Give him a few drinks and he'll cut off your damned head and put it on again without your knowing it.""  As Jeff Spaugh roared off Harry Tugman said jealously:  ""Look at that bastard. Mr. Vanderbilt. He thinks he's hell, don't he? A big pile of bull. Ben, do you reckon he was really out at the Hilliards to-night? Oh for God's sake,"" said Ben irritably, ""how the hell should I know!",1
4395,"Well, Randy had been right about the wounded faun. For George knew now that his own self-pity was just his precious egotism coming between him and the truth he strove for as a writer. What Randy didn't know was that business also had its wounded fauns. And they, it seemed, were a species that you could not kill so lightly. For business was the most precious form of egotism--self-interest at its dollar value. Kill that with truth, and what would be left?",1
7577,"“And Daisy ought to have something in her life,” murmured Jordan to me. “Does she want to see Gatsby?”  “She’s not to know about it. Gatsby doesn’t want her to know. You’re just supposed to invite her to tea.”",0
5240,"Heilig caught the full implications of George's whispered tone. He glanced at him sharply. Then he sighed deeply, and his bitterness dropped away.",1
2939,"Gant was dead. Gant was living, death-in-life. In his big back room at Eliza's he waited death, lost and broken in a semi-life of petulant memory. He hung to life by a decayed filament, a corpse lit by infrequent flares of consciousness. The sudden death whose menace they had faced so long that it had lost its meaning, had never come to him. It had come where they had least expected it-- to Ben. And the conviction which Eugene had had at Ben's death, more than a year and a half before, was now a materialized certainty. The great wild pattern of the family had been broken forever. The partial discipline that had held them together had been destroyed by the death of their brother: the nightmare of waste and loss had destroyed their hope. With an insane fatalism they had surrendered to the savage chaos of life.",1
516,"The Jew was a kind man. He coughed gently behind his white hand and ate bread fried in battered egg and butter. Eugene developed a keen appetite for it: innocently he called it ""Jew Bread"" and asked for more. Lichenfels laughed gently, coughed--his wife was full of swart rich laughter. The boy did small services for him: he gave him a coin from week to week. He was a clothier from a New Jersey town. In the Spring he went to a sanitarium; he died there later.",1
4649,"In Europe, Drake, we find worn stone, all hollowed out and rubbed to rounded edges. For centuries the unknown lives of men now buried touched and wore this stone, and when we see it something stirs within our hearts, and something strange and dark and passionate moves our souls, and--""They were here! we say.",1
1833,"There had been a faint closed noise from the house: voices and laughter, and the cracked hoarse tone of an old phonograph. The sound stopped quickly as the negro rapped: the shabby house seemed to listen. In a moment, a hinge creaked stealthily: he caught the low startled blur of a woman's voice. Who is it? Who?  In another moment Jim Trivett returned to him, and said quietly:  ""It's all right, 'Gene.",1
784,"Then she began to laugh. Why, Mr. Leonard,"" she said, ""what in the world! He's almost as tall as you. Here, boy.  Stand up here while I measure. Deft-fingered, she put them back to back. Mr. Leonard was two or three inches taller than Eugene. He began to whine with laughter.",1
9130,"“Do you still love me, Jake?”  “Yes,” I said. “Because I’m a goner,” Brett said. “How?”  “I’m a goner.",0
8968,"“No,” said Cohn, “what time is it?”  “It’s ten o’clock.”  “What a lot we’ve drunk.” “You mean what a lot we’ve drunk. You went to sleep.”",0
6486,He saw Antonapoulos sitting in a large chair before him. He sat tranquil and unmoving. His round face was inscrutable. His mouth was wise and smiling. And his eyes were profound. He watched the things that were said to him. And in his wisdom he understood.,0
4672,"There would have been a time and place for such a thing, brave Admiral Drake, if he, our fellow Green, had only fallen as a hollow man and landed dryly, or if he had opened to disperse a grey embalming fluid in the gutter. It would have been all right if he had just been blown away like an old paper, or if he had been swept aside like remnants of familiar litter, and then subsumed into the Standard Concentrated stuff from which he came. But C. Green would not have it so. He exploded to drench our common substance of viscous grey with the bright indecency of blood, to resume himself from number, to become before our eyes a Man, and to identify a single spot of all our general Nothingness with the unique passion, the awful terror, and the dignity of Death.",1
3918,"His whole appearance confirmed this impression of him. His pleasant, sensitive, glowing face, which wore a constant air of cherubic elation, and his high bald forehead were healthily browned and weathered as if he spent much time tramping in the open air. And, in contrast to the other guests, who were all in formal evening dress, he had on tan, thick-soled English walking shoes, woollen socks, grey flannel trousers, a trifle baggy but fashionably Oxonian, a tweed coat of brownish texture, a soft white shirt, and a red tie. One would have said, at sight of him, that he must have just come in from a long walk across the moors, and that now, pleasantly tired, he was looking forward with easeful contemplation to an evening spent with his dog, beside his fire, with a bottle of old port, and Beddoes. One would never have guessed the truth--that he was an eminent theatrical director whose life since childhood had been spent in the city, along Broadway and among the most highly polished groups of urban society.",1
1692,"Have you told your papa?"" said Eliza, presently. No,"" she said, after a pause, ""I haven't. They thought of Gant in silence, with wonder.",1
8925,I walked down the hill from the cathedral and up the street to the café on the square. It was a little before noon. Robert Cohn and Bill were sitting at one of the tables. The marble-topped tables and the white wicker chairs were gone. They were replaced by cast-iron tables and severe folding chairs. The café was like a battleship stripped for action. To-day the waiters did not leave you alone all morning to read without asking if you wanted to order something. A waiter came up as soon as I sat down.,0
7774,"“What?” Confused, he stared at us as we laughed. “A medium?”  “About Gatsby.”  “About Gatsby! No, I haven’t. I said I’d been making a small investigation of his past.”",0
4811,"Well,"" she said, ""after all, there is 'Is father, isn't there? And 'Is father is not as young as 'e used to be, is 'e? She was silent for a moment, diplomatically allowing the tactful inference to sink in by itself. Well, sir,"" she concluded very quietly, ""I mean to say, sir, a time will come, sir, won't it?""  ""Yes, Mrs. Purvis,"" George persisted, ""but will it?",1
3557,"He was not a man to wear his heart upon his overcoat, nor risk his life on every corner, nor throw himself away upon a word, nor spend his strength on the impulse of a moment's wild belief. This was such madness as the Gentiles knew. But, this side idolatry and madness he would go as far for friendship's sake as any man. He would go with a friend up to the very edge of ruin and defeat, and he would even try to hold him back. But once he saw a man was mad, and not to be persuaded by calm judgment, he was done with him. He would leave him where he was, although regretfully. Are matters helped if the whole crew drowns together with a single drunken sailor? He thought not. He could put a world of sincere meaning in the three words: ""What a pity!",1
5670,"She lay on the rumpled bed like a sulky cat and stretched herself. The room was drab in the fresh, hot morning sun, and a pair of silk stockings hung limp and withered from the cord of the window-shade. 'Is that drunk fool still hanging around downstairs?' she demanded.",0
732,"He's not so crazy as you think. 'That's right,"" said Mr. Gilroy, noting Gant's grin. The Stingaree's a fish. They have them in Florida. Don't forget the birds, my friends,"" said Simon, going out with his companions.",1
6930,'What happened to the guards?'  'Them w-white men were fired. That what they told me.' 'And where are your friends now?'  'What friends?',0
3640,"The progress of his career during the forty years since he first came to New York had been away from the quieter, more traditional, and, as it now seemed to him, duller forms of social and domestic life, to those forms which were more brilliant and gay, filled with the constant excitement of new pleasures and sensations, and touched with a spice of uncertainty and menace. The life of his boyhood--that of his family, who for a hundred years had carried on a private banking business in a little town--now seemed to him impossibly stodgy. Not only its domestic and social activities, which went on as steadily and predictably as a clock from year to year, marked at punctual intervals by a ritual of dutiful visits and countervisits among relatives, but its business enterprise also, with its small and cautious transactions, now seemed paltry and uninteresting.",1
5757,"Portia was excited. Whenever she got to talking about God--or Willie, her brother, or Highboy, her husband--she got excited. 'Now, I not a big shouter. I belongs to the Presbyterian Church and us don't hold with all this rolling on the floor and talking in tongues. Us don't get sanctified ever week and wallow around together. In our church we sings and lets the preacher do the preaching. And tell you the truth I don't think a little singing and a little preaching would hurt you, Mick. You ought to take your little brother to the Sunday School and also you plenty big enough to sit in church. From the biggity way you been acting lately it seem to me like you already got one toe in the pit.'",0
5691,Bubber stood up and looked hard into the baby's face. 'He don't want nothing. ',0
5419,"She took the money and put it in her purse. George still had the little man's ten marks in his hand and was looking at them. The woman glanced up, saw his face, then said quickly, warmly: ""But you're upset about this thing! You look so troubled. George put the money away.",1
3979,"Just then Lily Mandell turned her head towards the hall, sniffed sharply, and suddenly said:  ""Does anyone smell smoke? Hah? What?"" said Mrs. Jack. And then, going into the hall, she cried excitedly: ""But yes! There is quite a strong smell of smoke out here! I think it would be just as well if we got out of the building until we find out what's wrong. Her face was now burning with excitement. I suppose we'd better,"" she said. Everybody come on! Then: ""0 Mr. Logan!""--she raised her voice, and now for the first time he lifted his round and heavy face with an expression of inquiring innocence--""I say--I think perhaps we'd all better get out, Mr. Logan, until we find out where the fire is! Are you ready?""  ""Yes, of course,"" said Mr. Logan cheerfully.",1
2058,"They were locked limb to limb: he kissed the smooth sheen of her arms and shoulders--the passion that numbed his limbs was governed by a religious ecstasy. He wanted to hold her, and go away by himself to think about her. He stooped, thrusting his arm under her knees, and lifted her up exultantly. She looked at him frightened, holding him more tightly.",1
2123,"Yes,"" she gathered her arms tightly about his neck, ""why do you think I could forget it?""  ""Do you remember what I said--what I asked you to do?"" he insisted eagerly. Oh, what are we going to do? What are we going to do? she moaned, turning her head to the side and flinging an arm across her eyes.",1
